question;Agree;Disagree;Somewhat;Strongly agree;Strongly disagree;True sometimes;Yes;total_responses
Academic Advising;0;0;0;2;0;1;0;3
Academic Advisor;8;4;0;0;0;0;0;12
Academic Advisor ;4;2;0;0;0;0;0;6
Academic and Career Counseling Services ;0;4;0;0;0;1;0;5
Advertisements ;0;2;0;1;0;1;0;4
Are available for consultation and advice;2;2;0;1;0;0;0;5
Are enthusiastic ;0;0;0;2;0;1;0;3
Are knowledgeable of the content of the courses they taught;0;2;0;2;0;0;0;4
Aspirational leaders;2;0;0;2;0;0;0;4
Availability of study sites;2;0;0;1;0;1;0;4
Availability of the digital databases;2;2;0;0;0;1;0;5
Cared about the progress of their students;0;0;0;2;0;1;0;3
Center of Communication and Rhetoric (CCR);0;0;0;0;0;3;0;3
Center of Excellence in Writing and Speaking (CEWS);0;4;0;0;0;1;0;5
Channels for scholarship and financial support;2;0;0;2;0;0;0;4
Channels of payment;0;0;0;2;0;1;0;3
Citrine Ambassador Program (EAP);4;0;0;0;0;1;0;5
Citrine's Code of Ethical Conduct (Tarbwyyat Citrine);2;0;0;2;0;0;0;4
Classrooms attractiveness and comfortability (including lecture rooms, laboratories etc.);4;0;0;0;0;1;0;5
Comprehensive learning experience;0;0;0;1;2;1;0;4
Contributes to technological advancements locally and globally;2;0;0;0;2;1;0;5
Current and up-to-date library materials;2;0;0;1;2;0;0;5
Did the instructor make you feel excited about the topic and encouraged you to read/research extra beyond what was required?;0;0;7;0;0;0;5;12
Did you use the textbook/ articles/ Internet reading to clarify your understanding of the course?;0;0;6;0;0;0;7;13
Encourage me to investigate new ideas;2;0;0;1;0;1;0;4
Enhancement Program (ESP) Services;2;0;0;0;0;2;0;4
Family Member;0;2;0;1;0;1;0;4
For Extra-curricular activities (swimming pool, gym, running track, student lounge);4;0;0;1;0;0;0;5
For Healthy Food Services ;2;0;0;0;0;2;0;4
For Religious observances;2;2;0;1;0;0;0;5
Gave me helpful feedback on my work;2;0;0;2;0;0;0;4
Grade Appeal and Academic and Non-academic Concerns Process;2;0;0;2;0;0;0;4
Helped me to develop leadership skills;2;0;0;1;0;1;0;4
I would like to take another course with the same instructor;2;5;0;3;3;0;0;13
Impactful knowledge and intellectual contributions;4;0;0;1;0;0;0;5
Inspired me to do my best;4;0;0;1;0;0;0;5
Library atmosphere for studying;0;0;0;1;0;2;0;3
Library copy & print facilities;0;0;0;1;0;2;0;3
Library website;4;2;0;0;0;0;0;6
Library workshops;4;0;0;0;2;0;0;6
Made me aware of the ethical values necessary for my future career;2;2;0;1;0;0;0;5
Medical Clinic;0;2;0;1;0;1;0;4
My Current Employer;2;2;0;0;0;1;0;5
My ability to investigate and solve new problems;0;2;0;1;2;0;0;5
My ability to use technology to find information and report results;2;0;0;0;0;2;0;4
My ability to work effectively in groups;2;2;0;0;2;0;0;6
My interest to want to continue to keep up to date with new developments in my field of study;2;0;0;1;2;0;0;5
My rights and responsibilities at Citrine University;0;0;0;2;0;1;0;3
My skills in communication;4;2;0;0;0;0;0;6
Others;2;2;0;0;0;1;0;5
Others ;6;6;0;0;0;3;0;15
Overall, I was satisfied with the quality of this course;9;1;0;1;3;0;0;14
Peer Tutoring Services;2;2;0;0;0;1;0;5
Personal Counseling Services;0;2;0;1;2;0;0;5
Previous Citrine University Graduate;2;0;0;0;0;2;0;4
Printed Brochures and Booklets;0;2;0;0;0;2;0;4
Provides quality education centered on encouraging innovative scientific solutions and research;0;0;0;2;0;0;0;2
Registration Process;4;0;0;1;0;0;0;5
Serves as an agent of change that advances inspired leaders and scholars in fulfilling Queen Citrine Al-Thunayan Al-Saud ‘s legacy (God rest her soul);0;0;0;3;0;0;0;3
Social Media;0;2;0;1;0;1;0;4
Socio-economic growth of the Kingdom;0;2;0;1;0;1;0;4
Solutions to societal and economic challenges;2;0;0;1;0;1;0;4
Sports Activities;0;0;0;2;0;1;0;3
Student Life (Events, activities, trips, clubs, etc...) ;0;2;0;1;0;1;0;4
The Dean of Academic Development and Supportive Studies;4;2;0;0;0;0;0;6
The Dean of Academic Development and Supportive Studies ;8;4;0;0;0;0;0;12
The Dean of Admission and Registration;2;0;0;1;0;1;0;4
The Dean of Admission and Registration ;4;0;0;2;0;2;0;8
The Dean of Graduate Studies and Research;2;0;0;1;0;1;0;4
The Dean of Graduate Studies and Research ;4;0;0;2;0;2;0;8
The Dean of Student Affairs;0;0;0;1;2;0;0;3
The Dean of Student Affairs ;0;0;0;2;4;0;0;6
The Dean of the College;0;12;0;3;0;0;0;15
The Department Chair;6;0;0;6;0;0;0;12
The Email services;0;0;0;1;4;0;0;5
The Learning Management System (Blackboard) services;2;2;0;0;0;1;0;5
The President of the University;0;6;0;3;0;3;0;12
The Provost;0;6;0;3;0;3;0;12
The Student Information System (Banner) services;2;2;0;1;0;0;0;5
The accessibility of IT systems off campus;2;0;0;1;0;1;0;4
The accessibility of digital resources;2;0;0;1;0;1;0;4
The assessment tasks and the assessment criteria were made clear to  me;1;6;0;4;3;0;0;14
The attendance system (fingerprints) services;0;2;0;2;0;0;0;4
The course materials were made available on Blackboard;6;3;0;2;1;0;0;12
The effort required for this course was appropriate;4;4;0;3;2;0;0;13
The functionality of library equipment;2;0;0;1;0;1;0;4
The help of library staff;0;0;0;2;0;1;0;3
The instructor returned assignments/tests timely and with feedback;4;4;0;3;2;0;0;13
The instructor stimulated interest in the course subject;6;1;0;3;2;0;0;12
The instructor treated students with respect;5;2;0;2;4;0;0;13
