Agree,Disagree,Somewhat,Strongly agree,Strongly disagree,True sometimes,Yes,total_responses,question
0,0,0,2,0,1,0,3,Academic Advising
12,6,0,0,0,0,0,18,Academic Advisor
0,4,0,0,0,1,0,5,Academic and Career Counseling Services 
0,2,0,1,0,1,0,4,Advertisements 
2,2,0,1,0,0,0,5,Are available for consultation and advice
0,0,0,2,0,1,0,3,Are enthusiastic 
0,2,0,2,0,0,0,4,Are knowledgeable of the content of the courses they taught
2,0,0,2,0,0,0,4,Aspirational leaders
2,0,0,1,0,1,0,4,Availability of study sites
2,2,0,0,0,1,0,5,Availability of the digital databases
0,0,0,2,0,1,0,3,Cared about the progress of their students
0,0,0,0,0,3,0,3,Center of Communication and Rhetoric (CCR)
0,4,0,0,0,1,0,5,Center of Excellence in Writing and Speaking (CEWS)
2,0,0,2,0,0,0,4,Channels for scholarship and financial support
0,0,0,2,0,1,0,3,Channels of payment
4,0,0,0,0,1,0,5,Citrine Ambassador Program (EAP)
2,0,0,2,0,0,0,4,Citrine's Code of Ethical Conduct (Tarbwyyat Citrine)
4,0,0,0,0,1,0,5,"Classrooms attractiveness and comfortability (including lecture rooms, laboratories etc.)"
0,0,0,1,2,1,0,4,Comprehensive learning experience
2,0,0,0,2,1,0,5,Contributes to technological advancements locally and globally
2,0,0,1,2,0,0,5,Current and up-to-date library materials
0,0,7,0,0,0,5,12,Did the instructor make you feel excited about the topic and encouraged you to read/research extra beyond what was required?
0,0,6,0,0,0,7,13,Did you use the textbook/ articles/ Internet reading to clarify your understanding of the course?
2,0,0,1,0,1,0,4,Encourage me to investigate new ideas
2,0,0,0,0,2,0,4,Enhancement Program (ESP) Services
0,2,0,1,0,1,0,4,Family Member
4,0,0,1,0,0,0,5,"For Extra-curricular activities (swimming pool, gym, running track, student lounge)"
2,0,0,0,0,2,0,4,For Healthy Food Services 
2,2,0,1,0,0,0,5,For Religious observances
2,0,0,2,0,0,0,4,Gave me helpful feedback on my work
2,0,0,2,0,0,0,4,Grade Appeal and Academic and Non-academic Concerns Process
2,0,0,1,0,1,0,4,Helped me to develop leadership skills
2,5,0,3,3,0,0,13,I would like to take another course with the same instructor
4,0,0,1,0,0,0,5,Impactful knowledge and intellectual contributions
4,0,0,1,0,0,0,5,Inspired me to do my best
0,0,0,1,0,2,0,3,Library atmosphere for studying
0,0,0,1,0,2,0,3,Library copy & print facilities
4,2,0,0,0,0,0,6,Library website
4,0,0,0,2,0,0,6,Library workshops
2,2,0,1,0,0,0,5,Made me aware of the ethical values necessary for my future career
0,2,0,1,0,1,0,4,Medical Clinic
0,2,0,1,2,0,0,5,My ability to investigate and solve new problems
2,0,0,0,0,2,0,4,My ability to use technology to find information and report results
2,2,0,0,2,0,0,6,My ability to work effectively in groups
2,2,0,0,0,1,0,5,My Current Employer
2,0,0,1,2,0,0,5,My interest to want to continue to keep up to date with new developments in my field of study
0,0,0,2,0,1,0,3,My rights and responsibilities at Citrine University
4,2,0,0,0,0,0,6,My skills in communication
8,8,0,0,0,4,0,20,Others 
9,1,0,1,3,0,0,14,"Overall, I was satisfied with the quality of this course"
2,2,0,0,0,1,0,5,Peer Tutoring Services
0,2,0,1,2,0,0,5,Personal Counseling Services
2,0,0,0,0,2,0,4,Previous Citrine University Graduate
0,2,0,0,0,2,0,4,Printed Brochures and Booklets
0,0,0,2,0,0,0,2,Provides quality education centered on encouraging innovative scientific solutions and research
4,0,0,1,0,0,0,5,Registration Process
0,0,0,3,0,0,0,3,Serves as an agent of change that advances inspired leaders and scholars in fulfilling Queen Citrine Al-Thunayan Al-Saud ‘s legacy (God rest her soul)
0,2,0,1,0,1,0,4,Social Media
0,2,0,1,0,1,0,4,Socio-economic growth of the Kingdom
2,0,0,1,0,1,0,4,Solutions to societal and economic challenges
0,0,0,2,0,1,0,3,Sports Activities
0,2,0,1,0,1,0,4,"Student Life (Events, activities, trips, clubs, etc...) "
2,0,0,1,0,1,0,4,The accessibility of digital resources
2,0,0,1,0,1,0,4,The accessibility of IT systems off campus
1,6,0,4,3,0,0,14,The assessment tasks and the assessment criteria were made clear to  me
0,2,0,2,0,0,0,4,The attendance system (fingerprints) services
8,1,0,1,3,0,0,13," The class activities, assignments, laboratories helped me in understanding the course"
9,2,0,0,2,0,0,13, The course generally followed the syllabus
6,3,0,2,1,0,0,12,The course materials were made available on Blackboard
6,3,0,2,2,0,0,13, The course materials were up to date and useful
5,2,0,4,3,0,0,14, The course resources I needed were available when I needed them
5,1,0,5,3,0,0,14, The course was intellectually challenging
12,6,0,0,0,0,0,18,The Dean of Academic Development and Supportive Studies 
6,0,0,3,0,3,0,12,The Dean of Admission and Registration 
6,0,0,3,0,3,0,12,The Dean of Graduate Studies and Research 
0,0,0,3,6,0,0,9,The Dean of Student Affairs 
0,12,0,3,0,0,0,15,The Dean of the College
6,0,0,6,0,0,0,12,The Department Chair
4,4,0,3,2,0,0,13,The effort required for this course was appropriate
0,0,0,1,4,0,0,5,The Email services
2,0,0,1,0,1,0,4,The functionality of library equipment
0,0,0,2,0,1,0,3,The help of library staff
4,4,0,3,2,0,0,13,The instructor returned assignments/tests timely and with feedback
6,1,0,3,2,0,0,12,The instructor stimulated interest in the course subject
5,2,0,2,4,0,0,13,The instructor treated students with respect
5,5,0,1,3,0,0,14,The instructor was available for help outside of class
3,2,0,5,3,0,0,13,The instructor was enthusiastic about the subject
7,2,0,3,2,0,0,14,The instructor was prepared
7,2,0,0,4,0,0,13, The instructor's explanation was clear
2,0,0,1,0,1,0,4,The internet accessibility services on campus
6,5,0,1,1,0,0,13,The lab activities were well integrated with the lectures.
6,5,0,1,2,0,0,14,The lab sessions were organized and clear instructions were given to me
2,2,0,0,0,1,0,5,The Learning Management System (Blackboard) services
2,2,0,1,0,0,0,5,The library working times
2,0,0,1,0,1,0,4,The orientation program for new students
0,6,0,3,0,3,0,12,The President of the University
0,6,0,3,0,3,0,12,The Provost
2,2,0,1,0,0,0,5,The Student Information System (Banner) services
0,4,0,0,0,1,0,5,University School Visit
0,2,0,0,0,2,0,4,University Website
2,2,0,1,0,0,0,5,Use up-to-date and useful study materials 
0,0,0,2,0,1,0,3,Used effective methods of teaching
