Agree,Disagree,Strongly agree,Strongly disagree,True sometimes,total_responses,question
0,0,2,0,1,3,Academic Advising
0,4,0,0,1,5,Academic and Career Counseling Services 
0,0,0,0,3,3,Center of Communication and Rhetoric (CCR)
0,4,0,0,1,5,Center of Excellence in Writing and Speaking (CEWS)
4,0,0,0,1,5,Citrine Ambassador Program (EAP)
2,0,0,0,2,4,Enhancement Program (ESP) Services
2,0,2,0,0,4,Grade Appeal and Academic and Non-academic Concerns Process
2,2,0,0,1,5,Peer Tutoring Services
0,2,1,2,0,5,Personal Counseling Services
4,0,1,0,0,5,Registration Process
2,0,1,0,1,4,The orientation program for new students
