question,Strongly agree,Agree,Disagree,Strongly disagree,True sometimes,positive_response,negative_response,neutral_response,total_responses
Academic Advising,2,0,0,0,1,2,0,1,6
Academic and Career Counseling Services ,0,0,4,0,1,0,4,1,10
Center of Communication and Rhetoric (CCR),0,0,0,0,3,0,0,3,6
Center of Excellence in Writing and Speaking (CEWS),0,0,4,0,1,0,4,1,10
Citrine Ambassador Program (EAP),0,4,0,0,1,4,0,1,10
Enhancement Program (ESP) Services,0,2,0,0,2,2,0,2,8
Grade Appeal and Academic and Non-academic Concerns Process,2,2,0,0,0,4,0,0,8
Peer Tutoring Services,0,2,2,0,1,2,2,1,10
Personal Counseling Services,1,0,2,2,0,1,4,0,10
Registration Process,1,4,0,0,0,5,0,0,10
The orientation program for new students,1,2,0,0,1,3,0,1,8
