question,Strongly agree,Agree,Disagree,Strongly disagree,True sometimes,positive_response,total_responses
Academic Advising,2,0,0,0,1,2,5
Academic Advisor,0,12,6,0,0,12,30
Academic and Career Counseling Services ,0,0,4,0,1,0,5
Advertisements ,1,0,2,0,1,1,5
Are available for consultation and advice,1,2,2,0,0,3,8
Are enthusiastic ,2,0,0,0,1,2,5
Are knowledgeable of the content of the courses they taught,2,0,2,0,0,2,6
Aspirational leaders,2,2,0,0,0,4,8
Availability of study sites,1,2,0,0,1,3,7
Availability of the digital databases,0,2,2,0,1,2,7
Cared about the progress of their students,2,0,0,0,1,2,5
Center of Communication and Rhetoric (CCR),0,0,0,0,3,0,3
Center of Excellence in Writing and Speaking (CEWS),0,0,4,0,1,0,5
Channels for scholarship and financial support,2,2,0,0,0,4,8
Channels of payment,2,0,0,0,1,2,5
Citrine Ambassador Program (EAP),0,4,0,0,1,4,9
Citrine's Code of Ethical Conduct (Tarbwyyat Citrine),2,2,0,0,0,4,8
"Classrooms attractiveness and comfortability (including lecture rooms, laboratories etc.)",0,4,0,0,1,4,9
Comprehensive learning experience,1,0,0,2,1,1,5
Contributes to technological advancements locally and globally,0,2,0,2,1,2,7
Current and up-to-date library materials,1,2,0,2,0,3,8
Encourage me to investigate new ideas,1,2,0,0,1,3,7
Enhancement Program (ESP) Services,0,2,0,0,2,2,6
Family Member,1,0,2,0,1,1,5
"For Extra-curricular activities (swimming pool, gym, running track, student lounge)",1,4,0,0,0,5,10
For Healthy Food Services ,0,2,0,0,2,2,6
For Religious observances,1,2,2,0,0,3,8
Gave me helpful feedback on my work,2,2,0,0,0,4,8
Grade Appeal and Academic and Non-academic Concerns Process,2,2,0,0,0,4,8
Helped me to develop leadership skills,1,2,0,0,1,3,7
Impactful knowledge and intellectual contributions,1,4,0,0,0,5,10
Inspired me to do my best,1,4,0,0,0,5,10
Library atmosphere for studying,1,0,0,0,2,1,4
Library copy & print facilities,1,0,0,0,2,1,4
Library website,0,4,2,0,0,4,10
Library workshops,0,4,0,2,0,4,10
Made me aware of the ethical values necessary for my future career,1,2,2,0,0,3,8
Medical Clinic,1,0,2,0,1,1,5
My ability to investigate and solve new problems,1,0,2,2,0,1,6
My ability to use technology to find information and report results,0,2,0,0,2,2,6
My ability to work effectively in groups,0,2,2,2,0,2,8
My Current Employer,0,2,2,0,1,2,7
My interest to want to continue to keep up to date with new developments in my field of study,1,2,0,2,0,3,8
My rights and responsibilities at Citrine University,2,0,0,0,1,2,5
My skills in communication,0,4,2,0,0,4,10
Others ,0,8,8,0,4,8,28
Peer Tutoring Services,0,2,2,0,1,2,7
Personal Counseling Services,1,0,2,2,0,1,6
Previous Citrine University Graduate,0,2,0,0,2,2,6
Printed Brochures and Booklets,0,0,2,0,2,0,4
Provides quality education centered on encouraging innovative scientific solutions and research,2,0,0,0,0,2,4
Registration Process,1,4,0,0,0,5,10
Serves as an agent of change that advances inspired leaders and scholars in fulfilling Queen Citrine Al-Thunayan Al-Saud ‘s legacy (God rest her soul),3,0,0,0,0,3,6
Social Media,1,0,2,0,1,1,5
Socio-economic growth of the Kingdom,1,0,2,0,1,1,5
Solutions to societal and economic challenges,1,2,0,0,1,3,7
Sports Activities,2,0,0,0,1,2,5
"Student Life (Events, activities, trips, clubs, etc...) ",1,0,2,0,1,1,5
The accessibility of digital resources,1,2,0,0,1,3,7
The accessibility of IT systems off campus,1,2,0,0,1,3,7
The attendance system (fingerprints) services,2,0,2,0,0,2,6
The Dean of Academic Development and Supportive Studies ,0,12,6,0,0,12,30
The Dean of Admission and Registration ,3,6,0,0,3,9,21
The Dean of Graduate Studies and Research ,3,6,0,0,3,9,21
The Dean of Student Affairs ,3,0,0,6,0,3,12
The Dean of the College,3,0,12,0,0,3,18
The Department Chair,6,6,0,0,0,12,24
The Email services,1,0,0,4,0,1,6
The functionality of library equipment,1,2,0,0,1,3,7
The help of library staff,2,0,0,0,1,2,5
The internet accessibility services on campus,1,2,0,0,1,3,7
The Learning Management System (Blackboard) services,0,2,2,0,1,2,7
The library working times,1,2,2,0,0,3,8
The orientation program for new students,1,2,0,0,1,3,7
The President of the University,3,0,6,0,3,3,15
The Provost,3,0,6,0,3,3,15
The Student Information System (Banner) services,1,2,2,0,0,3,8
University School Visit,0,0,4,0,1,0,5
University Website,0,0,2,0,2,0,4
Use up-to-date and useful study materials ,1,2,2,0,0,3,8
Used effective methods of teaching,2,0,0,0,1,2,5
