question,campaign_id,resource,type_version,Strongly agree,Agree,Disagree,Strongly disagree,True sometimes,positive_response,total_responses
Academic Advising,1,program,program version 1,2,0,0,0,1,2,5
Academic Advisor,1,program,program version 1,0,12,6,0,0,12,30
Academic and Career Counseling Services ,1,program,program version 1,0,0,4,0,1,0,5
Advertisements ,1,program,program version 1,1,0,2,0,1,1,5
Are available for consultation and advice,1,program,program version 1,1,2,2,0,0,3,8
Are enthusiastic ,1,program,program version 1,2,0,0,0,1,2,5
Are knowledgeable of the content of the courses they taught,1,program,program version 1,2,0,2,0,0,2,6
Aspirational leaders,1,program,program version 1,2,2,0,0,0,4,8
Availability of study sites,1,program,program version 1,1,2,0,0,1,3,7
Availability of the digital databases,1,program,program version 1,0,2,2,0,1,2,7
Cared about the progress of their students,1,program,program version 1,2,0,0,0,1,2,5
Center of Communication and Rhetoric (CCR),1,program,program version 1,0,0,0,0,3,0,3
Center of Excellence in Writing and Speaking (CEWS),1,program,program version 1,0,0,4,0,1,0,5
Channels for scholarship and financial support,1,program,program version 1,2,2,0,0,0,4,8
Channels of payment,1,program,program version 1,2,0,0,0,1,2,5
Citrine Ambassador Program (EAP),1,program,program version 1,0,4,0,0,1,4,9
Citrine's Code of Ethical Conduct (Tarbwyyat Citrine),1,program,program version 1,2,2,0,0,0,4,8
"Classrooms attractiveness and comfortability (including lecture rooms, laboratories etc.)",1,program,program version 1,0,4,0,0,1,4,9
Comprehensive learning experience,1,program,program version 1,1,0,0,2,1,1,5
Contributes to technological advancements locally and globally,1,program,program version 1,0,2,0,2,1,2,7
Current and up-to-date library materials,1,program,program version 1,1,2,0,2,0,3,8
Encourage me to investigate new ideas,1,program,program version 1,1,2,0,0,1,3,7
Enhancement Program (ESP) Services,1,program,program version 1,0,2,0,0,2,2,6
Family Member,1,program,program version 1,1,0,2,0,1,1,5
"For Extra-curricular activities (swimming pool, gym, running track, student lounge)",1,program,program version 1,1,4,0,0,0,5,10
For Healthy Food Services ,1,program,program version 1,0,2,0,0,2,2,6
For Religious observances,1,program,program version 1,1,2,2,0,0,3,8
Gave me helpful feedback on my work,1,program,program version 1,2,2,0,0,0,4,8
Grade Appeal and Academic and Non-academic Concerns Process,1,program,program version 1,2,2,0,0,0,4,8
Helped me to develop leadership skills,1,program,program version 1,1,2,0,0,1,3,7
I would like to take another course with the same instructor,2,course,course version 1,3,2,5,3,0,5,18
Impactful knowledge and intellectual contributions,1,program,program version 1,1,4,0,0,0,5,10
Inspired me to do my best,1,program,program version 1,1,4,0,0,0,5,10
Library atmosphere for studying,1,program,program version 1,1,0,0,0,2,1,4
Library copy & print facilities,1,program,program version 1,1,0,0,0,2,1,4
Library website,1,program,program version 1,0,4,2,0,0,4,10
Library workshops,1,program,program version 1,0,4,0,2,0,4,10
Made me aware of the ethical values necessary for my future career,1,program,program version 1,1,2,2,0,0,3,8
Medical Clinic,1,program,program version 1,1,0,2,0,1,1,5
My ability to investigate and solve new problems,1,program,program version 1,1,0,2,2,0,1,6
My ability to use technology to find information and report results,1,program,program version 1,0,2,0,0,2,2,6
My ability to work effectively in groups,1,program,program version 1,0,2,2,2,0,2,8
My Current Employer,1,program,program version 1,0,2,2,0,1,2,7
My interest to want to continue to keep up to date with new developments in my field of study,1,program,program version 1,1,2,0,2,0,3,8
My rights and responsibilities at Citrine University,1,program,program version 1,2,0,0,0,1,2,5
My skills in communication,1,program,program version 1,0,4,2,0,0,4,10
Others ,1,program,program version 1,0,8,8,0,4,8,28
"Overall, I was satisfied with the quality of this course",2,course,course version 1,1,9,1,3,0,10,24
Peer Tutoring Services,1,program,program version 1,0,2,2,0,1,2,7
Personal Counseling Services,1,program,program version 1,1,0,2,2,0,1,6
Previous Citrine University Graduate,1,program,program version 1,0,2,0,0,2,2,6
Printed Brochures and Booklets,1,program,program version 1,0,0,2,0,2,0,4
Provides quality education centered on encouraging innovative scientific solutions and research,1,program,program version 1,2,0,0,0,0,2,4
Registration Process,1,program,program version 1,1,4,0,0,0,5,10
Serves as an agent of change that advances inspired leaders and scholars in fulfilling Queen Citrine Al-Thunayan Al-Saud ‘s legacy (God rest her soul),1,program,program version 1,3,0,0,0,0,3,6
Social Media,1,program,program version 1,1,0,2,0,1,1,5
Socio-economic growth of the Kingdom,1,program,program version 1,1,0,2,0,1,1,5
Solutions to societal and economic challenges,1,program,program version 1,1,2,0,0,1,3,7
Sports Activities,1,program,program version 1,2,0,0,0,1,2,5
"Student Life (Events, activities, trips, clubs, etc...) ",1,program,program version 1,1,0,2,0,1,1,5
The accessibility of digital resources,1,program,program version 1,1,2,0,0,1,3,7
The accessibility of IT systems off campus,1,program,program version 1,1,2,0,0,1,3,7
The assessment tasks and the assessment criteria were made clear to  me,2,course,course version 1,4,1,6,3,0,5,19
The attendance system (fingerprints) services,1,program,program version 1,2,0,2,0,0,2,6
" The class activities, assignments, laboratories helped me in understanding the course",2,course,course version 1,1,8,1,3,0,9,22
 The course generally followed the syllabus,2,course,course version 1,0,9,2,2,0,9,22
The course materials were made available on Blackboard,2,course,course version 1,2,6,3,1,0,8,20
 The course materials were up to date and useful,2,course,course version 1,2,6,3,2,0,8,21
 The course resources I needed were available when I needed them,2,course,course version 1,4,5,2,3,0,9,23
 The course was intellectually challenging,2,course,course version 1,5,5,1,3,0,10,24
The Dean of Academic Development and Supportive Studies ,1,program,program version 1,0,12,6,0,0,12,30
The Dean of Admission and Registration ,1,program,program version 1,3,6,0,0,3,9,21
The Dean of Graduate Studies and Research ,1,program,program version 1,3,6,0,0,3,9,21
The Dean of Student Affairs ,1,program,program version 1,3,0,0,6,0,3,12
The Dean of the College,1,program,program version 1,3,0,12,0,0,3,18
The Department Chair,1,program,program version 1,6,6,0,0,0,12,24
The effort required for this course was appropriate,2,course,course version 1,3,4,4,2,0,7,20
The Email services,1,program,program version 1,1,0,0,4,0,1,6
The functionality of library equipment,1,program,program version 1,1,2,0,0,1,3,7
The help of library staff,1,program,program version 1,2,0,0,0,1,2,5
The instructor returned assignments/tests timely and with feedback,2,course,course version 1,3,4,4,2,0,7,20
The instructor stimulated interest in the course subject,2,course,course version 1,3,6,1,2,0,9,21
The instructor treated students with respect,2,course,course version 1,2,5,2,4,0,7,20
The instructor was available for help outside of class,2,course,course version 1,1,5,5,3,0,6,20
The instructor was enthusiastic about the subject,2,course,course version 1,5,3,2,3,0,8,21
The instructor was prepared,2,course,course version 1,3,7,2,2,0,10,24
 The instructor's explanation was clear,2,course,course version 1,0,7,2,4,0,7,20
The internet accessibility services on campus,1,program,program version 1,1,2,0,0,1,3,7
The lab activities were well integrated with the lectures.,2,course,course version 1,1,6,5,1,0,7,20
The lab sessions were organized and clear instructions were given to me,2,course,course version 1,1,6,5,2,0,7,21
The Learning Management System (Blackboard) services,1,program,program version 1,0,2,2,0,1,2,7
The library working times,1,program,program version 1,1,2,2,0,0,3,8
The orientation program for new students,1,program,program version 1,1,2,0,0,1,3,7
The President of the University,1,program,program version 1,3,0,6,0,3,3,15
The Provost,1,program,program version 1,3,0,6,0,3,3,15
The Student Information System (Banner) services,1,program,program version 1,1,2,2,0,0,3,8
University School Visit,1,program,program version 1,0,0,4,0,1,0,5
University Website,1,program,program version 1,0,0,2,0,2,0,4
Use up-to-date and useful study materials ,1,program,program version 1,1,2,2,0,0,3,8
