cmp_id,resource,question,Strongly agree,Agree,Disagree,Strongly disagree,True sometimes,positive_response,negative_response,neutral_response,total_responses
1,program,Academic Advising,2,0,0,0,1,2,0,1,6
1,program,Academic Advisor,0,12,6,0,0,12,6,0,36
1,program,Academic and Career Counseling Services,0,0,4,0,1,0,4,1,10
1,program,Advertisements,1,0,2,0,1,1,2,1,8
1,program,Are available for consultation and advice,1,2,2,0,0,3,2,0,10
1,program,Are enthusiastic,2,0,0,0,1,2,0,1,6
1,program,Are knowledgeable of the content of the courses they taught,2,0,2,0,0,2,2,0,8
1,program,Aspirational leaders,2,2,0,0,0,4,0,0,8
1,program,Availability of study sites,1,2,0,0,1,3,0,1,8
1,program,Availability of the digital databases,0,2,2,0,1,2,2,1,10
1,program,Cared about the progress of their students,2,0,0,0,1,2,0,1,6
1,program,Center of Communication and Rhetoric (CCR),0,0,0,0,3,0,0,3,6
1,program,Center of Excellence in Writing and Speaking (CEWS),0,0,4,0,1,0,4,1,10
1,program,Channels for scholarship and financial support,2,2,0,0,0,4,0,0,8
1,program,Channels of payment,2,0,0,0,1,2,0,1,6
1,program,Citrine Ambassador Program (EAP),0,4,0,0,1,4,0,1,10
1,program,Citrine's Code of Ethical Conduct (Tarbwyyat Citrine),2,2,0,0,0,4,0,0,8
1,program,"Classrooms attractiveness and comfortability (including lecture rooms, laboratories etc.)",0,4,0,0,1,4,0,1,10
1,program,Comprehensive learning experience,1,0,0,2,1,1,2,1,8
1,program,Contributes to technological advancements locally and globally,0,2,0,2,1,2,2,1,10
1,program,Current and up-to-date library materials,1,2,0,2,0,3,2,0,10
1,program,Encourage me to investigate new ideas,1,2,0,0,1,3,0,1,8
1,program,Enhancement Program (ESP) Services,0,2,0,0,2,2,0,2,8
1,program,Family Member,1,0,2,0,1,1,2,1,8
1,program,"For Extra-curricular activities (swimming pool, gym, running track, student lounge)",1,4,0,0,0,5,0,0,10
1,program,For Healthy Food Services,0,2,0,0,2,2,0,2,8
1,program,For Religious observances,1,2,2,0,0,3,2,0,10
1,program,Gave me helpful feedback on my work,2,2,0,0,0,4,0,0,8
1,program,Grade Appeal and Academic and Non-academic Concerns Process,2,2,0,0,0,4,0,0,8
1,program,Helped me to develop leadership skills,1,2,0,0,1,3,0,1,8
1,program,Impactful knowledge and intellectual contributions,1,4,0,0,0,5,0,0,10
1,program,Inspired me to do my best,1,4,0,0,0,5,0,0,10
1,program,Library atmosphere for studying,1,0,0,0,2,1,0,2,6
1,program,Library copy & print facilities,1,0,0,0,2,1,0,2,6
1,program,Library website,0,4,2,0,0,4,2,0,12
1,program,Library workshops,0,4,0,2,0,4,2,0,12
1,program,Made me aware of the ethical values necessary for my future career,1,2,2,0,0,3,2,0,10
1,program,Medical Clinic,1,0,2,0,1,1,2,1,8
1,program,My Current Employer,0,2,2,0,1,2,2,1,10
