cmp_id,resource,type_version,question,Strongly agree,Agree,Disagree,Strongly disagree,True sometimes,positive_response,negative_response,total_responses,total_positive_by_question,satisfaction_rate
1,program,program version 1,Academic Advising,2,0,0,0,1,2,0,5,2,40.0
1,program,program version 1,Academic Advisor,0,12,6,0,0,12,6,36,12,33.33333333333333
1,program,program version 1,Academic and Career Counseling Services,0,0,4,0,1,0,4,9,0,0.0
1,program,program version 1,Advertisements,1,0,2,0,1,1,2,7,1,14.285714285714285
1,program,program version 1,Are available for consultation and advice,1,2,2,0,0,3,2,10,3,30.0
1,program,program version 1,Are enthusiastic,2,0,0,0,1,2,0,5,2,40.0
1,program,program version 1,Are knowledgeable of the content of the courses they taught,2,0,2,0,0,2,2,8,2,25.0
1,program,program version 1,Aspirational leaders,2,2,0,0,0,4,0,8,4,50.0
1,program,program version 1,Availability of study sites,1,2,0,0,1,3,0,7,3,42.857142857142854
1,program,program version 1,Availability of the digital databases,0,2,2,0,1,2,2,9,2,22.22222222222222
1,program,program version 1,Cared about the progress of their students,2,0,0,0,1,2,0,5,2,40.0
1,program,program version 1,Center of Communication and Rhetoric (CCR),0,0,0,0,3,0,0,3,0,0.0
1,program,program version 1,Center of Excellence in Writing and Speaking (CEWS),0,0,4,0,1,0,4,9,0,0.0
1,program,program version 1,Channels for scholarship and financial support,2,2,0,0,0,4,0,8,4,50.0
1,program,program version 1,Channels of payment,2,0,0,0,1,2,0,5,2,40.0
1,program,program version 1,Citrine Ambassador Program (EAP),0,4,0,0,1,4,0,9,4,44.44444444444444
1,program,program version 1,Citrine's Code of Ethical Conduct (Tarbwyyat Citrine),2,2,0,0,0,4,0,8,4,50.0
1,program,program version 1,"Classrooms attractiveness and comfortability (including lecture rooms, laboratories etc.)",0,4,0,0,1,4,0,9,4,44.44444444444444
1,program,program version 1,Comprehensive learning experience,1,0,0,2,1,1,2,7,1,14.285714285714285
1,program,program version 1,Contributes to technological advancements locally and globally,0,2,0,2,1,2,2,9,2,22.22222222222222
1,program,program version 1,Current and up-to-date library materials,1,2,0,2,0,3,2,10,3,30.0
1,program,program version 1,Encourage me to investigate new ideas,1,2,0,0,1,3,0,7,3,42.857142857142854
1,program,program version 1,Enhancement Program (ESP) Services,0,2,0,0,2,2,0,6,2,33.33333333333333
1,program,program version 1,Family Member,1,0,2,0,1,1,2,7,1,14.285714285714285
1,program,program version 1,"For Extra-curricular activities (swimming pool, gym, running track, student lounge)",1,4,0,0,0,5,0,10,5,50.0
1,program,program version 1,For Healthy Food Services,0,2,0,0,2,2,0,6,2,33.33333333333333
1,program,program version 1,For Religious observances,1,2,2,0,0,3,2,10,3,30.0
1,program,program version 1,Gave me helpful feedback on my work,2,2,0,0,0,4,0,8,4,50.0
1,program,program version 1,Grade Appeal and Academic and Non-academic Concerns Process,2,2,0,0,0,4,0,8,4,50.0
1,program,program version 1,Helped me to develop leadership skills,1,2,0,0,1,3,0,7,3,42.857142857142854
1,program,program version 1,Impactful knowledge and intellectual contributions,1,4,0,0,0,5,0,10,5,50.0
1,program,program version 1,Inspired me to do my best,1,4,0,0,0,5,0,10,5,50.0
1,program,program version 1,Library atmosphere for studying,1,0,0,0,2,1,0,4,1,25.0
1,program,program version 1,Library copy & print facilities,1,0,0,0,2,1,0,4,1,25.0
1,program,program version 1,Library website,0,4,2,0,0,4,2,12,4,33.33333333333333
